"rank","name","usps","pop2022","pop2020","growth","density","aland_sqmi"
"1","New York City","NY","8930002","8804190","0.0143","29729","300.3810"
"2","Los Angeles","CA","3919973","3898747","0.0054","8359","468.9560"
"3","Chicago","IL","2756546","2746388","0.0037","12124","227.3690"
"4","Houston","TX","2345606","2304580","0.0178","3664","640.1940"
"5","Phoenix","AZ","1640641","1608139","0.0202","3169","517.6730"
"6","Philadelphia","PA","1619355","1603797","0.0097","12060","134.2790"
"7","San Antonio","TX","1456069","1434625","0.0149","3002","485.1130"
"8","San Diego","CA","1402838","1386932","0.0115","4305","325.8770"
"9","Dallas","TX","1325691","1304379","0.0163","3902","339.7360"
"10","San Jose","CA","1026700","1013240","0.0133","5774","177.8080"
"11","Austin","TX","996147","961855","0.0357","3114","319.9390"
"12","Jacksonville","FL","975177","949611","0.0269","1305","747.4670"
"13","Fort Worth","TX","954457","918915","0.0387","2762","345.5840"
"14","Columbus","OH","929492","905748","0.0262","4240","219.1970"
"15","Charlotte","NC","903211","874579","0.0327","2940","307.2380"
"16","Indianapolis","IN","901082","887642","0.0151","2492","361.5710"
"17","San Francisco","CA","887711","873965","0.0157","18927","46.9030"
"18","Seattle","WA","762687","737015","0.0348","9095","83.8620"
"19","Denver","CO","738594","715522","0.0322","4818","153.2920"
"20","Washington","DC","707109","689545","0.0255","11566","61.1360"
"21","Nashville","TN","707091","689447","0.0256","1487","475.5430"
"22","Oklahoma City","OK","701266","681054","0.0297","1156","606.4450"
"23","Boston","MA","687257","675647","0.0172","14217","48.3390"
"24","El Paso","TX","684753","678815","0.0087","2660","257.4200"
"25","Portland","OR","666249","652503","0.0211","4994","133.4210"
"26","Las Vegas","NV","653533","641903","0.0181","4610","141.7670"
"27","Memphis","TN","630348","633104","-0.0044","1986","317.3570"
"28","Detroit","MI","624177","639111","-0.0234","4500","138.7150"
"29","Baltimore","MD","578658","585708","-0.0120","7149","80.9470"
"30","Milwaukee","WI","573700","577222","-0.0061","5965","96.1840"
"31","Albuquerque","NM","568301","564559","0.0066","3036","187.2150"
"32","Fresno","CA","551595","542107","0.0175","4808","114.7250"
"33","Tucson","AZ","547131","542629","0.0083","2299","238.0140"
"34","Sacramento","CA","536635","524943","0.0223","5491","97.7300"
"35","Kansas City","MO","517750","508090","0.0190","1644","314.8860"
"36","Mesa","AZ","517302","504258","0.0259","3746","138.0850"
"37","Atlanta","GA","514457","498715","0.0316","3790","135.7370"
"38","Omaha","NE","501469","486051","0.0317","3557","140.9830"
"39","Colorado Springs","CO","491467","478961","0.0261","2520","195"
"40","Raleigh","NC","480419","467665","0.0273","3293","145.8860"
"41","Long Beach","CA","467638","466742","0.0019","9224","50.6960"
"42","Virginia Beach","VA","463766","459470","0.0093","1895","244.7230"
"43","Miami","FL","450797","442241","0.0193","12524","35.9960"
"44","Oakland","CA","450630","440646","0.0227","8062","55.8930"
"45","Minneapolis","MN","439430","429954","0.0220","8138","54"
"46","Tulsa","OK","417298","413066","0.0102","2113","197.4780"
"47","Bakersfield","CA","414649","403455","0.0277","2769","149.7580"
"48","Wichita","KS","400564","397532","0.0076","2478","161.6620"
"49","Arlington","TX","400032","394266","0.0146","4177","95.7790"
